ID,Group,Item,Model,Qty,Unit INR,Total INR,GST,Store,URL,Label,Note
JX0-01,Servos,Leg servo (12 per robot),Feetech ST3215-C018 12 V 30 kg·cm serial bus servo,12,2419.00,29028.00,incl.,Evelta,https://evelta.com/st3215-c018-12v-30kg-cm-dual-shaft-ttl-serial-servo-metal-gears-magnetic-encoder/,VERIFIED 2026-09-24,"30 kg·cm stall / 10 kg·cm rated at 12 V, 12-bit encoder, 61 in stock; 7.4 V version ₹2,159 (Robu) needs a 7.4 V driver input"
JX0-02,Servos,"Arm, gripper and neck servo",TowerPro MG90S metal-gear micro servo,9,124.00,1116.00,not stated,Quartz Components,https://quartzcomponents.com/products/tower-pro-mg90s-servo-motor-with-metal-gear,VERIFIED 2026-09-24,"shoulder pitch/roll + elbow + gripper x2, neck yaw; driven from Pi GPIO (pigpio DMA pulses), no PCA9685 needed"
JX0-03,Electronics,Bus servo driver,Waveshare Serial Bus Servo Driver board,1,499.99,499.99,not stated,ThinkRobotics,https://thinkrobotics.com/products/serial-bus-servo-driver,VERIFIED 2026-09-24,"9-12.6 V input = servo voltage (3S pack); UART/USB to the Pi"
JX0-04,Electronics,Brain,Raspberry Pi 4 Model B 2 GB (with case),1,6999.99,6999.99,not stated,ThinkRobotics,https://thinkrobotics.com/products/raspberry-pi-4-model-b,VERIFIED 2026-09-24,"runs gait playback, IMU balance, offline speech (Vosk + Piper) and the Claude API client; Pi 5 4 GB is ₹15,949"
JX0-05,Electronics,microSD card,SanDisk Ultra 32 GB A1,1,1499.00,1499.00,not stated,Quartz Components,https://quartzcomponents.com/products/32gb-ultra-microsd-memory-card-red-grey,VERIFIED 2026-09-24,
JX0-06,Sensors,IMU,MPU6050 gyro + accelerometer,1,127.00,127.00,not stated,Quartz Components,https://quartzcomponents.com/products/mpu6050-gyroscope-accelerometer-sensor,VERIFIED 2026-09-24,"balance feedback (complementary filter); BNO055 ₹1,342 if drift is a problem"
JX0-07,Voice,Microphone,INMP441 I2S MEMS microphone,1,145.00,145.00,not stated,Quartz Components,https://quartzcomponents.com/products/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s,VERIFIED 2026-09-24,
JX0-08,Voice,Amplifier,MAX98357A I2S 3 W class-D amplifier,1,124.00,124.00,not stated,Quartz Components,https://quartzcomponents.com/products/max98357-3w-amplifier,VERIFIED 2026-09-24,
JX0-09,Voice,Speaker,Waveshare 2030 cavity speaker 8 Ω 2 W,1,299.99,299.99,not stated,ThinkRobotics,https://thinkrobotics.com/products/2030-cavity-speaker-8%CF%89-2w,VERIFIED 2026-09-24,no 3 W 4 Ω 40 mm speaker in stock
JX0-10,Face,Round display (face),1.28 inch round TFT 240x240 GC9A01 SPI,1,469.00,469.00,incl.,Robu,https://robu.in/product/128-inch-tft-lcd-display-module-round-240240-gc9a01-driver-spi-interface-with-soldering/,VERIFIED 2026-09-24,animated eyes and mouth synced to speech
JX0-11,Face,Camera,OV5647 5 MP Raspberry Pi camera Rev 1.3,1,319.00,319.00,incl.,Robu,https://robu.in/product/raspberry-pi-camera-module/,VERIFIED 2026-09-24,"lets the robot answer 'what do you see?' (Claude vision)"
